LogID,Level,Component,LogSource,Content,EventTemplate,clickhouse_latency,minio_latency,clickhouse_energy,minio_energy,latency_diff,severity,has_errors,is_security,best_backend,routing_reason
0,notice,,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>,4.609183997672517,0.1583799967193044,0.0,0.0,4.450804000953212,0,0,0,minio,energy_efficient
1,error,,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,21.57282899861457,0.0842730005388148,0.0,0.0,21.488555998075753,2,1,0,clickhouse,high_priority
2,notice,,Apache,jk2_init() Found child 6725 in scoreboard slot 10,jk2_init() Found child <*> in scoreboard slot <*>,4.628974995284807,0.0701620010659098,0.0,0.0,4.558812994218897,0,0,0,minio,energy_efficient
3,notice,,Apache,jk2_init() Found child 6726 in scoreboard slot 8,jk2_init() Found child <*> in scoreboard slot <*>,5.388653000409249,0.0877790007507428,0.0,0.0,5.300873999658506,0,0,0,minio,energy_efficient
4,notice,,Apache,jk2_init() Found child 6728 in scoreboard slot 6,jk2_init() Found child <*> in scoreboard slot <*>,4.7385990037582815,0.0683190010022372,0.0,0.0,4.670280002756044,0,0,0,minio,energy_efficient
5,notice,,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>,4.129968001507223,0.0646519984002225,0.0,0.0,4.065316003107,0,0,0,minio,energy_efficient
6,notice,,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>,3.9141300003393553,0.0651470036245882,0.01758274375,0.0,3.848982996714767,0,0,0,minio,energy_efficient
7,notice,,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>,3.926252997189295,0.0626479959464632,0.0,0.0,3.863605001242832,0,0,0,minio,energy_efficient
8,error,,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,4.012010002043098,0.0562379937036894,0.0,0.0,3.955772008339409,2,1,0,clickhouse,high_priority
9,error,,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,7.253352996485773,0.056277000112459,0.0,0.0,7.1970759963733135,2,1,0,clickhouse,high_priority
10,error,,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,4.2513179942034185,0.0560100015718489,0.0,0.0,4.1953079926315695,2,1,0,clickhouse,high_priority
11,notice,,Apache,jk2_init() Found child 6736 in scoreboard slot 10,jk2_init() Found child <*> in scoreboard slot <*>,4.096102995390538,0.0564110014238394,0.0,0.0,4.039691993966699,0,0,0,minio,energy_efficient
12,notice,,Apache,jk2_init() Found child 6733 in scoreboard slot 7,jk2_init() Found child <*> in scoreboard slot <*>,4.020269996544812,0.0555169972358271,0.02226506625,0.0,3.9647529993089847,0,0,0,minio,energy_efficient
13,notice,,Apache,jk2_init() Found child 6734 in scoreboard slot 9,jk2_init() Found child <*> in scoreboard slot <*>,3.9426119983545513,0.0550889963051304,0.0,0.0,3.887523002049421,0,0,0,minio,energy_efficient
14,notice,,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>,4.635833996871952,0.0552140045328997,0.0,0.0,4.580619992339052,0,0,0,minio,energy_efficient
15,notice,,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>,5.315259004419204,0.0568870018469169,0.0300207124999999,0.0,5.258372002572287,0,0,0,minio,energy_efficient
16,error,,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>,4.965529995388351,0.0607510010013356,0.0,0.0,4.904778994387016,2,1,0,clickhouse,high_priority
17,notice,,Apache,jk2_init() Found child 6738 in scoreboard slot 6,jk2_init() Found child <*> in scoreboard slot <*>,4.354639997472987,0.0561920023756101,0.0257389955,0.0,4.298447995097376,0,0,0,minio,energy_efficient
18,notice,,Apache,jk2_init() Found child 6741 in scoreboard slot 9,jk2_init() Found child <*> in scoreboard slot <*>,4.320911997638177,0.0561460037715733,0.0,0.0,4.264765993866604,0,0,0,minio,energy_efficient
